glottocode	genus	confidence
abin1243	isolate	
abis1238	isolate	
abaz1241	Northwest Caucasian	initial
abkh1244	Northwest Caucasian	initial
adyg1241	Northwest Caucasian	initial
kaba1278	Northwest Caucasian	initial
ubyk1235	Northwest Caucasian	initial
abun1252	isolate	initial
adai1235	isolate	
awji1241	Berber	common ancestor (siwi1239, cent2194)
ghad1239	Berber	common ancestor (siwi1239, cent2194)
sawk1238	Berber	common ancestor (siwi1239, taga1278)
siwi1239	Berber	initial
chen1266	Berber	common ancestor (siwi1239, taga1278)
taga1278	Berber	initial
tema1243	Berber	common ancestor (siwi1239, taga1278)
tazn1238	Berber	initial
tidi1241	Berber	common ancestor (siwi1239, taga1278)
tumz1238	Berber	initial
tach1249	Berber	initial
tari1263	Berber	initial
sene1271	Berber	common ancestor (siwi1239, taga1278)
tuni1262	Berber	common ancestor (siwi1239, taga1278)
cent2194	Berber	initial
ghom1257	Berber	common ancestor (siwi1239, cent2194)
senh1238	Berber	common ancestor (siwi1239, cent2194)
tach1250	Berber	initial
kaby1243	Berber	initial
nafu1238	Berber	common ancestor (siwi1239, cent2194)
tama1365	Berber	initial
tawa1286	Berber	common ancestor (siwi1239, cent2194)
taya1257	Berber	initial
taha1241	Berber	initial
guan1277	Berber	common ancestor (siwi1239, cent2194)
tets1235	Berber	common ancestor (siwi1239, cent2194)
zena1248	Berber	initial
mbuk1243	Biu-Mandara	common ancestor (mbar1260, gude1246)
vame1236	Biu-Mandara	common ancestor (mbar1260, gude1246)
mbar1260	Biu-Mandara	initial
musg1254	Biu-Mandara	initial
musk1256	Biu-Mandara	common ancestor (mbar1260, gida1247)
gida1247	Biu-Mandara	initial
hyaa1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
bana1305	Biu-Mandara	initial
kamw1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
kiry1234	Biu-Mandara	common ancestor (mbar1260, gida1247)
psik1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
budu1265	Biu-Mandara	initial
jina1244	Biu-Mandara	common ancestor (mbar1260, gida1247)
maje1243	Biu-Mandara	common ancestor (mbar1260, gida1247)
lagw1237	Biu-Mandara	initial
mser1242	Biu-Mandara	common ancestor (mbar1260, gida1247)
afad1236	Biu-Mandara	initial
masl1241	Biu-Mandara	common ancestor (mbar1260, gida1247)
malg1250	Biu-Mandara	common ancestor (mbar1260, gida1247)
mpad1242	Biu-Mandara	common ancestor (mbar1260, gida1247)
ngal1301	Biu-Mandara	common ancestor (mbar1260, gida1247)
hdii1240	Biu-Mandara	initial
lama1288	Biu-Mandara	initial
vemg1240	Biu-Mandara	common ancestor (mbar1260, gida1247)
huba1236	Biu-Mandara	initial
marg1266	Biu-Mandara	common ancestor (mbar1260, gida1247)
marg1265	Biu-Mandara	initial
bura1292	Biu-Mandara	initial
ciba1236	Biu-Mandara	common ancestor (mbar1260, gida1247)
nggw1242	Biu-Mandara	common ancestor (mbar1260, gida1247)
puta1243	Biu-Mandara	common ancestor (mbar1260, gida1247)
dghw1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
cine1238	Biu-Mandara	common ancestor (mbar1260, gida1247)
gudu1252	Biu-Mandara	initial
gvok1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
mata1306	Biu-Mandara	common ancestor (mbar1260, gida1247)
park1239	Biu-Mandara	initial
glav1244	Biu-Mandara	common ancestor (mbar1260, gida1247)
malg1251	Biu-Mandara	initial
wand1278	Biu-Mandara	common ancestor (mbar1260, gida1247)
dugw1239	Biu-Mandara	common ancestor (mbar1260, gida1247)
mere1246	Biu-Mandara	common ancestor (mbar1260, gida1247)
zulg1242	Biu-Mandara	common ancestor (mbar1260, gida1247)
mofu1248	Biu-Mandara	initial
nort3046	Biu-Mandara	common ancestor (mbar1260, gida1247)
mada1293	Biu-Mandara	initial
molo1266	Biu-Mandara	common ancestor (mbar1260, gida1247)
muya1243	Biu-Mandara	common ancestor (mbar1260, gida1247)
wuzl1236	Biu-Mandara	initial
bald1241	Biu-Mandara	common ancestor (mbar1260, gida1247)
nort3047	Biu-Mandara	initial
sout3051	Biu-Mandara	common ancestor (mbar1260, gida1247)
baca1246	Biu-Mandara	common ancestor (mbar1260, gude1246)
bata1314	Biu-Mandara	common ancestor (mbar1260, gude1246)
fali1285	Biu-Mandara	common ancestor (mbar1260, gude1246)
gude1246	Biu-Mandara	initial
jimi1254	Biu-Mandara	common ancestor (mbar1260, gude1246)
zizi1238	Biu-Mandara	common ancestor (mbar1260, gude1246)
holm1250	Biu-Mandara	common ancestor (mbar1260, gude1246)
nzan1240	Biu-Mandara	common ancestor (mbar1260, gude1246)
shar1249	Biu-Mandara	common ancestor (mbar1260, gude1246)
tsuv1243	Biu-Mandara	common ancestor (mbar1260, gude1246)
gudu1250	Biu-Mandara	common ancestor (mbar1260, gude1246)
ngwa1251	Biu-Mandara	common ancestor (mbar1260, gude1246)
buwa1243	Biu-Mandara	common ancestor (mbar1260, gude1246)
gava1241	Biu-Mandara	common ancestor (mbar1260, gude1246)
maza1304	Biu-Mandara	common ancestor (mbar1260, gude1246)
nucl1683	Biu-Mandara	common ancestor (mbar1260, gude1246)
mbed1242	Biu-Mandara	common ancestor (mbar1260, gude1246)
mina1276	Biu-Mandara	initial
boga1251	Biu-Mandara	common ancestor (mbar1260, gude1246)
gaan1243	Biu-Mandara	initial
hwan1240	Biu-Mandara	common ancestor (mbar1260, gude1246)
jara1274	Biu-Mandara	common ancestor (mbar1260, gude1246)
tera1251	Biu-Mandara	initial
cuvo1236	Biu-Mandara	common ancestor (mbar1260, gude1246)
mafa1239	Biu-Mandara	common ancestor (mbar1260, gude1246)
mefe1242	Biu-Mandara	common ancestor (mbar1260, gude1246)
suku1272	Biu-Mandara	common ancestor (mbar1260, gude1246)
jilb1238	Biu-Mandara	common ancestor (mbar1260, gude1246)
bare1279	East Chadic	common ancestor (bidi1241, muku1242)
saka1296	East Chadic	common ancestor (bidi1241, muku1242)
birg1239	East Chadic	common ancestor (bidi1241, muku1242)
mogu1251	East Chadic	common ancestor (bidi1241, muku1242)
tora1267	East Chadic	common ancestor (bidi1241, muku1242)
bidi1241	East Chadic	initial
dang1274	East Chadic	initial
miga1249	East Chadic	initial
jonk1238	East Chadic	common ancestor (bidi1241, dang1274)
mabi1242	East Chadic	common ancestor (bidi1241, muku1242)
kaja1254	East Chadic	common ancestor (bidi1241, muku1242)
masm1239	East Chadic	common ancestor (bidi1241, muku1242)
mubi1246	East Chadic	common ancestor (bidi1241, muku1242)
zire1244	East Chadic	common ancestor (bidi1241, muku1242)
mawa1270	East Chadic	common ancestor (bidi1241, muku1242)
boor1242	East Chadic	common ancestor (bidi1241, muku1242)
milt1241	East Chadic	common ancestor (bidi1241, muku1242)
saba1276	East Chadic	common ancestor (bidi1241, muku1242)
soko1263	East Chadic	common ancestor (bidi1241, muku1242)
tamk1242	East Chadic	common ancestor (bidi1241, muku1242)
ubii1238	East Chadic	common ancestor (bidi1241, muku1242)
muku1242	East Chadic	initial
kera1255	East Chadic	initial
kwan1285	East Chadic	common ancestor (bidi1241, kera1255)
lele1276	East Chadic	initial
nanc1253	East Chadic	common ancestor (bidi1241, kera1255)
gabr1253	East Chadic	common ancestor (bidi1241, kera1255)
kimr1241	East Chadic	common ancestor (bidi1241, kera1255)
kaba1292	East Chadic	common ancestor (bidi1241, kera1255)
toba1280	East Chadic	common ancestor (bidi1241, kera1255)
mire1238	East Chadic	common ancestor (bidi1241, kera1255)
ndam1251	East Chadic	common ancestor (bidi1241, kera1255)
tuma1260	East Chadic	initial
saru1245	East Chadic	common ancestor (bidi1241, kera1255)
somr1248	East Chadic	common ancestor (bidi1241, kera1255)
gada1262	East Chadic	common ancestor (bidi1241, kera1255)
hama1241	Masa	common ancestor (masa1322, peve1243)
marb1239	Masa	common ancestor (masa1322, peve1243)
muse1242	Masa	common ancestor (masa1322, peve1243)
gize1234	Masa	common ancestor (masa1322, peve1243)
masa1322	Masa	initial
zuma1239	Masa	common ancestor (masa1322, peve1243)
herd1236	Masa	common ancestor (masa1322, peve1243)
mesm1239	Masa	common ancestor (masa1322, peve1243)
nget1241	Masa	common ancestor (masa1322, peve1243)
peve1243	Masa	initial
fyer1241	West Chadic	common ancestor (ronn1241, haus1257)
tamb1267	West Chadic	common ancestor (ronn1241, haus1257)
kule1247	West Chadic	common ancestor (ronn1241, haus1257)
mang1417	West Chadic	common ancestor (ronn1241, haus1257)
duhw1236	West Chadic	common ancestor (ronn1241, haus1257)
mund1334	West Chadic	common ancestor (ronn1241, haus1257)
ronn1241	West Chadic	initial
shaa1247	West Chadic	common ancestor (ronn1241, haus1257)
gwan1268	West Chadic	common ancestor (ronn1241, haus1257)
haus1257	West Chadic	initial
kare1348	West Chadic	common ancestor (ronn1241, haus1257)
gala1264	West Chadic	common ancestor (ronn1241, haus1257)
daza1244	West Chadic	common ancestor (ronn1241, haus1257)
giiw1236	West Chadic	common ancestor (ronn1241, haus1257)
beel1236	West Chadic	common ancestor (ronn1241, haus1257)
nucl1695	West Chadic	initial
ngam1282	West Chadic	common ancestor (ronn1241, haus1257)
gera1246	West Chadic	common ancestor (ronn1241, haus1257)
geru1240	West Chadic	common ancestor (ronn1241, haus1257)
deno1239	West Chadic	common ancestor (ronn1241, haus1257)
kubi1239	West Chadic	common ancestor (ronn1241, haus1257)
bure1242	West Chadic	common ancestor (ronn1241, haus1257)
khol1240	West Chadic	common ancestor (ronn1241, haus1257)
maak1236	West Chadic	common ancestor (ronn1241, haus1257)
nyam1285	West Chadic	common ancestor (ronn1241, haus1257)
dera1248	West Chadic	initial
kush1236	West Chadic	common ancestor (ronn1241, haus1257)
pero1241	West Chadic	initial
piya1245	West Chadic	common ancestor (ronn1241, haus1257)
kutt1236	West Chadic	common ancestor (ronn1241, haus1257)
kwaa1269	West Chadic	initial
nucl1696	West Chadic	initial
goem1240	West Chadic	initial
mont1280	West Chadic	common ancestor (ronn1241, haus1257)
koen1239	West Chadic	common ancestor (ronn1241, haus1257)
pyap1239	West Chadic	common ancestor (ronn1241, haus1257)
tall1250	West Chadic	common ancestor (ronn1241, haus1257)
yiwo1237	West Chadic	common ancestor (ronn1241, haus1257)
beln1234	West Chadic	common ancestor (ronn1241, haus1257)
cakf1236	West Chadic	common ancestor (ronn1241, haus1257)
jort1240	West Chadic	common ancestor (ronn1241, haus1257)
kofy1242	West Chadic	common ancestor (ronn1241, haus1257)
nucl1698	West Chadic	common ancestor (ronn1241, haus1257)
mish1244	West Chadic	common ancestor (ronn1241, haus1257)
mwag1236	West Chadic	initial
ngas1240	West Chadic	initial
duwa1244	West Chadic	common ancestor (ronn1241, ngiz1242)
ngiz1242	West Chadic	initial
bade1248	West Chadic	initial
auyo1240	West Chadic	common ancestor (ronn1241, ngiz1242)
tesh1239	West Chadic	common ancestor (ronn1241, ngiz1242)
diri1259	West Chadic	common ancestor (ronn1241, ngiz1242)
ciwo1236	West Chadic	common ancestor (ronn1241, ngiz1242)
mbur1239	West Chadic	common ancestor (ronn1241, ngiz1242)
miya1266	West Chadic	initial
kari1316	West Chadic	common ancestor (ronn1241, ngiz1242)
warj1253	West Chadic	common ancestor (ronn1241, ngiz1242)
ajaw1236	West Chadic	common ancestor (ronn1241, ngiz1242)
paaa1242	West Chadic	initial
siri1278	West Chadic	common ancestor (ronn1241, ngiz1242)
zumb1240	West Chadic	common ancestor (ronn1241, ngiz1242)
bogh1241	West Chadic	common ancestor (ronn1241, ngiz1242)
kirb1236	West Chadic	common ancestor (ronn1241, ngiz1242)
mang1416	West Chadic	common ancestor (ronn1241, ngiz1242)
guru1271	West Chadic	common ancestor (ronn1241, ngiz1242)
jimi1255	West Chadic	common ancestor (ronn1241, ngiz1242)
juuu1243	West Chadic	common ancestor (ronn1241, ngiz1242)
tala1295	West Chadic	common ancestor (ronn1241, ngiz1242)
zang1255	West Chadic	common ancestor (ronn1241, ngiz1242)
nucl1692	West Chadic	common ancestor (ronn1241, ngiz1242)
zara1252	West Chadic	common ancestor (ronn1241, ngiz1242)
luri1256	West Chadic	common ancestor (ronn1241, ngiz1242)
buli1260	West Chadic	common ancestor (ronn1241, ngiz1242)
polc1243	West Chadic	common ancestor (ronn1241, ngiz1242)
lund1276	West Chadic	common ancestor (ronn1241, ngiz1242)
zull1239	West Chadic	common ancestor (ronn1241, ngiz1242)
dass1243	West Chadic	common ancestor (ronn1241, ngiz1242)
dyar1234	West Chadic	common ancestor (ronn1241, ngiz1242)
saya1246	West Chadic	common ancestor (ronn1241, ngiz1242)
zari1242	West Chadic	common ancestor (ronn1241, ngiz1242)
lush1256	West Chadic	common ancestor (ronn1241, ngiz1242)
dans1239	West Chadic	common ancestor (ronn1241, ngiz1242)
nucl1693	West Chadic	common ancestor (ronn1241, ngiz1242)
zeem1242	West Chadic	common ancestor (ronn1241, ngiz1242)
beja1238	Beja	initial
awng1244	Central Cushitic	initial
bili1260	Central Cushitic	initial
xamt1239	Central Cushitic	common ancestor (awng1244, bili1260)
